user_k,handle_n,alias_n,bio_x,followers_t,statuses_t,favorites_t,friends_t,listed_t,verified_f,politician_f,media_f,location_x,language_n,timezone_n,created_y,created_s,user_c,russian_troll_f
111,taisiaavdeeva,?????? ???????,"??????? ? ????????? ???????: ? ???????, ?? ??????? ????? ? ?????? ??? ?? ?????????",2535,937,2168,279,1,FALSE,,,"??????, ??????",russian,volgograd,4/22/2014,4/22/2014 14:33,2501947239,TRUE
112,patriotka_rusi,????? ??????,?????,75,548,631,87,4,FALSE,,,??????,russian,moscow,4/23/2014,4/23/2014 14:33,2504171440,TRUE
113,russilanrogov,?????? ?????,"???? ?????? ?? ??????, ??????? ????? ?? ????????: ? ??? ????????? ????? — ? ?????? ????? ?????? ??????.",4507,657,1644,75,3,FALSE,,,"??????, ??????",russian,volgograd,4/27/2014,4/27/2014 11:14,2512420407,TRUE
114,rusnevrotik,????????,,97,1912,2658,120,1,FALSE,,,,russian,moscow,4/27/2014,4/27/2014 16:34,2512994207,TRUE
115,razvedchica_,?????? ??????????,"?? ??????! ???? ?????, ?????? ????",2360,1135,1261,549,3,FALSE,,,? ?????,russian,volgograd,4/28/2014,4/28/2014 15:37,2514979491,TRUE
116,ponomarevslav,???????? ?????????,,76,490,545,274,2,FALSE,,,"??????, ??????",russian,moscow,5/3/2014,5/3/2014 7:34,2524942055,TRUE
117,viborisova,???????? ????????,"?? ?????? ????? ?????? ???? ?????? ? ????????, ????? ???? ? ??? ?????, ? ????? ????????? ????????????.",2513,594,908,189,0,FALSE,,,"?????????, ??????",russian,volgograd,5/3/2014,5/3/2014 8:41,2525032463,TRUE
118,chernenkonikola,??????? ????????,"??????????, ??? ?? ?? ?? ???, ???????????? ?? ??????, ? ?????.",2233,1243,427,243,2,FALSE,,,??????,russian,volgograd,5/4/2014,5/4/2014 8:18,2527537955,TRUE
119,romanagafonovv,????? ????????,"???????, ? ??? ? ???? ????? ????????!",2452,835,393,379,1,FALSE,,,"??????, ??????",russian,moscow,5/4/2014,5/4/2014 10:31,2527804618,TRUE
120,stepansazono,?????? ???????,"?????? ???????? ?????????? ?????, ??? ??????? ?????? ??????!",2204,529,759,202,2,FALSE,,,?????,russian,volgograd,5/4/2014,5/4/2014 12:03,2527983201,TRUE
121,vasilichvasili,???????,"?????? ?????? ?? ???????, ??? ??????? ???????, ??? ? ??? ?????? ??????? ???????????.",2495,938,442,192,2,FALSE,,,??????,russian,volgograd,5/4/2014,5/4/2014 14:12,2528245959,TRUE
122,erofeenkoanton,????? ?????????,"??????????? ?????? ?? ??????! ???? ???? ????, ??????? ?? ??????? ?? ???????!",2189,701,419,252,1,FALSE,,,moscow,russian,volgograd,5/4/2014,5/4/2014 14:30,2528293132,TRUE
123,aleksey_sokol_,??????? ???????,"???? ??? ?????? ??????, , ???. ???????????? ???? ?? ???????",337,2669,2853,1702,4,FALSE,,,??????,russian,yerevan,5/5/2014,5/5/2014 9:35,2530603456,TRUE
